MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,YearBuilt,RoofStyle,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,2ndFlrSF,GrLivArea,HalfBath,KitchenQual,Fireplaces,GarageType,GarageFinish,GarageCars,PavedDrive,WoodDeckSF,OpenPorchSF,SaleType,SaleCondition,SalePrice,Age,RemodAge,DateSold,TotalBath
ExpensiveZone,69.0,8246,Irregular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1968,CheapRoofStyle,MiddleExterior,None,0.0,TA,CheapFoundation,TA,Yes,Other,204,1060,Ex,Y,SBrkr,0,1060,0,Gd,1,ExpensiveGarage,Unf,1,Y,406,90,CheapType,Others,154000,42,9,2010-05-01,2
ExpensiveZone,110.0,14230,Regular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,8,2007,CheapRoofStyle,ExpensiveExterior,Stone,640.0,Gd,ExpensiveFoundation,Gd,No,Other,1566,1566,Ex,Y,SBrkr,0,1600,0,Gd,1,ExpensiveGarage,RFn,3,Y,0,56,CheapType,Others,256300,2,2,2009-07-01,2
ExpensiveZone,60.0,7200,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1951,CheapRoofStyle,CheapExterior,None,0.0,TA,CheapFoundation,TA,Yes,Other,180,900,Others,Y,SBrkr,0,900,0,Gd,0,CheapGarage,Unf,2,Y,222,32,CheapType,Others,134800,59,10,2010-05-01,1
ExpensiveZone,98.0,11478,Regular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,8,2007,CheapRoofStyle,ExpensiveExterior,Stone,200.0,Gd,ExpensiveFoundation,Ex,No,GLQ,486,1704,Ex,Y,SBrkr,0,1704,0,Gd,1,ExpensiveGarage,RFn,3,Y,0,50,CheapType,Others,306000,3,2,2010-05-01,3
ExpensiveZone,47.0,16321,Irregular,ExpensiveConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1957,CheapRoofStyle,CheapExterior,None,0.0,TA,CheapFoundation,TA,Yes,Other,207,1484,Others,Y,SBrkr,0,1600,0,TA,2,ExpensiveGarage,RFn,1,Y,288,258,CheapType,Others,207500,49,9,2006-12-01,2
MiddleZone,60.0,6324,Irregular,CheapConfig,CheapNeighborhood,CheapCondition,ExpensiveType,MiddleStyle,4,1927,CheapRoofStyle,CheapExterior,None,0.0,TA,CheapFoundation,TA,No,Other,520,520,Others,N,SBrkr,0,520,0,Fa,0,CheapGarage,Unf,1,Y,49,0,CheapType,Others,68500,81,58,2008-05-01,1
CheapZone,50.0,8500,Regular,CheapConfig,CheapNeighborhood,CheapCondition,ExpensiveType,ExpensiveStyle,4,1920,CheapRoofStyle,ExpensiveExterior,None,0.0,TA,CheapFoundation,TA,No,Other,649,649,Others,N,SBrkr,668,1317,0,TA,0,CheapGarage,Unf,1,Other,0,54,CheapType,Others,40000,88,58,2008-07-01,1
ExpensiveZone,69.0,8544,Irregular,ExpensiveConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1966,CheapRoofStyle,MiddleExterior,None,0.0,TA,CheapFoundation,TA,No,Other,1228,1228,Others,Y,SBrkr,0,1228,1,Gd,0,ExpensiveGarage,Unf,1,Y,0,65,CheapType,Others,149350,42,2,2008-06-01,1
ExpensiveZone,85.0,11049,Regular,CheapConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,8,2007,CheapRoofStyle,ExpensiveExterior,None,0.0,Gd,ExpensiveFoundation,Ex,Yes,Other,1234,1234,Ex,Y,SBrkr,0,1234,0,Gd,0,ExpensiveGarage,RFn,2,Y,0,30,CheapType,Others,179900,1,1,2008-01-01,2
ExpensiveZone,70.0,10552,Irregular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1959,ExpensiveRoofStyle,ExpensiveExterior,None,0.0,TA,CheapFoundation,TA,No,Other,380,1398,Others,Y,SBrkr,0,1700,1,Gd,1,ExpensiveGarage,RFn,2,Y,0,38,CheapType,Others,165500,51,51,2010-04-01,1
ExpensiveZone,60.0,7313,Regular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,9,2005,ExpensiveRoofStyle,CheapExterior,BrkFace,246.0,Ex,ExpensiveFoundation,Ex,No,GLQ,408,1561,Ex,Y,SBrkr,0,1561,0,Ex,1,ExpensiveGarage,Fin,2,Y,203,47,CheapType,Others,277500,2,2,2007-08-01,3
ExpensiveZone,108.0,13418,Regular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,8,2004,CheapRoofStyle,ExpensiveExterior,Stone,132.0,Gd,ExpensiveFoundation,Ex,Yes,Other,1117,1117,Ex,Y,SBrkr,1320,2452,1,Gd,1,ExpensiveGarage,Fin,3,Y,113,32,CheapType,Others,309000,2,1,2006-09-01,3
ExpensiveZone,112.0,10859,Regular,CheapConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1994,CheapRoofStyle,ExpensiveExterior,None,0.0,TA,ExpensiveFoundation,Gd,No,Other,1097,1097,Ex,Y,SBrkr,0,1097,1,TA,0,ExpensiveGarage,Unf,2,Y,392,64,CheapType,Others,145000,15,14,2009-06-01,1
ExpensiveZone,74.0,8532,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1954,ExpensiveRoofStyle,CheapExterior,BrkFace,650.0,TA,CheapFoundation,TA,No,Other,84,1297,Others,Y,SBrkr,0,1297,0,TA,1,ExpensiveGarage,Fin,2,Y,0,0,CheapType,Others,153000,55,19,2009-10-01,1
ExpensiveZone,68.0,7922,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1953,CheapRoofStyle,ExpensiveExterior,None,0.0,TA,CheapFoundation,TA,No,GLQ,326,1057,Others,Y,SBrkr,0,1057,0,Gd,0,CheapGarage,Unf,1,Y,0,52,CheapType,Others,109000,57,3,2010-01-01,2
ExpensiveZone,65.0,6040,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,CheapType,MiddleStyle,4,1955,CheapRoofStyle,MiddleExterior,None,0.0,TA,ExpensiveFoundation,TA,Yes,Other,0,0,Others,N,Other,0,1152,0,Fa,0,CheapGarage,NoGarage,0,Other,0,0,CheapType,Others,82000,53,53,2008-06-01,2
ExpensiveZone,84.0,8658,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,6,1965,CheapRoofStyle,CheapExterior,BrkFace,101.0,TA,CheapFoundation,TA,No,Other,445,1088,Ex,Y,SBrkr,0,1324,0,TA,1,ExpensiveGarage,RFn,2,Y,0,138,CheapType,Others,160000,41,41,2006-12-01,2
ExpensiveZone,115.0,16905,Regular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1959,CheapRoofStyle,ExpensiveExterior,None,0.0,TA,CheapFoundation,TA,Yes,Other,383,1350,Others,Y,SBrkr,0,1328,1,TA,2,ExpensiveGarage,RFn,1,Other,0,104,CheapType,Others,170000,48,48,2007-07-01,1
ExpensiveZone,69.0,9180,Irregular,ExpensiveConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,CheapStyle,5,1983,CheapRoofStyle,MiddleExterior,None,0.0,TA,CheapFoundation,Gd,Yes,Other,0,840,Others,Y,SBrkr,0,884,0,Gd,0,ExpensiveGarage,RFn,2,Y,240,0,CheapType,Others,144000,24,24,2007-12-01,2
ExpensiveZone,69.0,9200,Irregular,ExpensiveConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1975,ExpensiveRoofStyle,ExpensiveExterior,None,0.0,TA,CheapFoundation,Gd,Yes,Other,167,938,Others,Y,SBrkr,0,938,0,TA,0,CheapGarage,Unf,1,Y,145,0,CheapType,Others,130250,33,28,2008-07-01,2
ExpensiveZone,70.0,7945,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1959,CheapRoofStyle,CheapExterior,None,0.0,TA,CheapFoundation,TA,No,Other,465,1150,Ex,Y,Other,0,1150,0,TA,0,ExpensiveGarage,RFn,1,Y,0,0,CheapType,Others,141000,47,47,2006-05-01,2
ExpensiveZone,61.0,7658,Regular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,9,2005,ExpensiveRoofStyle,CheapExterior,BrkFace,412.0,Ex,ExpensiveFoundation,Ex,No,GLQ,1296,1752,Ex,Y,SBrkr,0,1752,0,Ex,1,ExpensiveGarage,RFn,2,Y,196,82,CheapType,Others,319900,5,5,2010-02-01,3
ExpensiveZone,48.0,12822,Irregular,ExpensiveConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,CheapStyle,7,2003,CheapRoofStyle,ExpensiveExterior,None,0.0,Gd,ExpensiveFoundation,Ex,No,GLQ,83,1434,Ex,Y,SBrkr,631,2149,1,Gd,1,ExpensiveGarage,RFn,2,Y,168,43,CheapType,Others,239686,6,6,2009-08-01,2
ExpensiveZone,84.0,11096,Regular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,8,2006,CheapRoofStyle,ExpensiveExterior,None,0.0,Gd,ExpensiveFoundation,Gd,Yes,GLQ,1632,1656,Ex,Y,SBrkr,0,1656,0,Gd,0,ExpensiveGarage,RFn,3,Y,0,146,CheapType,Others,249700,1,1,2007-07-01,2
MiddleZone,33.0,4456,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,CheapType,ExpensiveStyle,4,1920,CheapRoofStyle,CheapExterior,None,0.0,TA,CheapFoundation,TA,No,Other,736,736,Others,Y,SBrkr,716,1452,0,TA,0,CheapGarage,NoGarage,0,Other,0,0,ExpensiveType,Partial,113000,89,1,2009-06-01,2
ExpensiveZone,66.0,7742,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1966,CheapRoofStyle,MiddleExterior,None,0.0,TA,CheapFoundation,TA,No,Other,192,955,Ex,Y,SBrkr,0,955,0,TA,0,ExpensiveGarage,Unf,1,Y,0,0,CheapType,Others,127000,41,41,2007-01-01,2
ExpensiveZone,69.0,13869,Irregular,CheapConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,6,1997,CheapRoofStyle,ExpensiveExterior,None,0.0,TA,ExpensiveFoundation,Gd,Yes,GLQ,612,794,Others,Y,SBrkr,676,1470,0,TA,0,ExpensiveGarage,Fin,2,Y,0,75,CheapType,Others,177000,10,10,2007-07-01,2
MiddleZone,52.0,6240,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,CheapStyle,6,1934,CheapRoofStyle,CheapExterior,None,0.0,TA,ExpensiveFoundation,TA,No,Other,816,816,Others,Y,SBrkr,0,1176,0,TA,1,CheapGarage,Unf,2,Y,112,0,CheapType,Others,114500,72,56,2006-09-01,1
MiddleZone,110.0,8472,Irregular,CheapConfig,CheapNeighborhood,ExpensiveCondition,CheapType,MiddleStyle,5,1963,CheapRoofStyle,CheapExterior,None,0.0,Fa,CheapFoundation,Gd,Yes,Other,0,816,Others,N,SBrkr,0,816,0,TA,0,CheapGarage,Unf,2,Y,106,0,CheapType,Others,110000,47,47,2010-05-01,2
ExpensiveZone,68.0,50271,Irregular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,9,1981,CheapRoofStyle,MiddleExterior,None,0.0,Gd,CheapFoundation,Ex,Yes,GLQ,32,1842,Others,Y,SBrkr,0,1842,1,Gd,1,ExpensiveGarage,Fin,3,Y,857,72,CheapType,Others,385000,25,19,2006-11-01,2
ExpensiveZone,60.0,7134,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1955,CheapRoofStyle,CheapExterior,None,0.0,TA,CheapFoundation,TA,No,Other,0,384,Others,Y,SBrkr,0,1360,0,TA,1,CheapGarage,Unf,2,Y,0,50,CheapType,Others,130000,52,52,2007-02-01,1
ExpensiveZone,100.0,10175,Irregular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,6,1964,CheapRoofStyle,MiddleExterior,BrkFace,272.0,TA,CheapFoundation,TA,No,Other,935,1425,Others,Y,SBrkr,0,1425,0,TA,1,ExpensiveGarage,RFn,2,Y,0,0,CheapType,Others,180500,44,44,2008-07-01,2
ExpensiveZone,24.0,2645,Regular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,CheapType,ExpensiveStyle,8,1999,CheapRoofStyle,CheapExterior,BrkFace,456.0,Gd,ExpensiveFoundation,Gd,No,GLQ,321,970,Ex,Y,SBrkr,756,1739,1,Gd,0,ExpensiveGarage,Fin,2,Y,115,0,CheapType,Others,172500,10,9,2009-08-01,3
ExpensiveZone,89.0,11645,Irregular,CheapConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,7,2004,CheapRoofStyle,ExpensiveExterior,None,0.0,Gd,ExpensiveFoundation,Gd,No,Other,860,860,Ex,Y,SBrkr,860,1720,1,Gd,0,ExpensiveGarage,RFn,2,Y,0,70,CheapType,Others,196500,2,2,2006-08-01,2
ExpensiveZone,66.0,13682,Irregular,ExpensiveConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,10,2006,ExpensiveRoofStyle,ExpensiveExterior,BrkFace,1031.0,Ex,ExpensiveFoundation,Ex,Yes,Other,1410,1410,Ex,Y,SBrkr,1519,2945,1,Gd,1,ExpensiveGarage,Fin,3,Y,192,0,ExpensiveType,Partial,438780,0,0,2006-10-01,3
ExpensiveZone,60.0,7200,Regular,CheapConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1972,CheapRoofStyle,MiddleExterior,None,0.0,TA,CheapFoundation,TA,Yes,Other,148,780,Ex,Y,SBrkr,0,780,0,TA,0,CheapGarage,Unf,1,Y,196,0,CheapType,Others,124900,36,36,2008-01-01,1
ExpensiveZone,63.0,13072,Regular,CheapConfig,MiddleNeighborhood,CheapCondition,ExpensiveType,MiddleStyle,6,2004,CheapRoofStyle,ExpensiveExterior,None,0.0,TA,ExpensiveFoundation,Gd,No,Other,217,1158,Ex,Y,SBrkr,0,1158,1,Gd,0,CheapGarage,Unf,2,Y,0,50,ExpensiveType,Partial,158000,2,2,2006-05-01,2
MiddleZone,60.0,7200,Regular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,5,1920,CheapRoofStyle,CheapExterior,None,0.0,TA,CheapFoundation,TA,No,Other,530,530,Others,N,SBrkr,530,1111,0,Fa,0,CheapGarage,Unf,1,Other,0,0,CheapType,Others,101000,87,11,2007-03-01,1
ExpensiveZone,44.0,6442,Irregular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,8,2006,CheapRoofStyle,ExpensiveExterior,Stone,178.0,Gd,ExpensiveFoundation,Gd,Yes,GLQ,1346,1370,Ex,Y,SBrkr,0,1370,0,Gd,1,ExpensiveGarage,RFn,2,Y,120,49,CheapType,Others,202500,1,1,2007-10-01,2
MiddleZone,50.0,10300,Irregular,CheapConfig,CheapNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,7,1921,CheapRoofStyle,MiddleExterior,None,0.0,TA,CheapFoundation,TA,No,Other,576,576,Others,Y,SBrkr,808,1710,0,TA,0,CheapGarage,Unf,2,Y,12,11,CheapType,Others,140000,89,60,2010-04-01,2
ExpensiveZone,69.0,9375,Regular,CheapConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,7,1997,CheapRoofStyle,ExpensiveExterior,BrkFace,573.0,TA,ExpensiveFoundation,Gd,No,GLQ,318,1057,Ex,Y,SBrkr,977,2034,1,Gd,0,ExpensiveGarage,RFn,2,Y,576,36,CheapType,Others,219500,12,11,2009-02-01,3
ExpensiveZone,76.0,9591,Regular,CheapConfig,ExpensiveNeighborhood,MiddleCondition,ExpensiveType,ExpensiveStyle,8,2004,CheapRoofStyle,ExpensiveExterior,BrkFace,344.0,Gd,ExpensiveFoundation,Ex,Yes,Other,1143,1143,Ex,Y,SBrkr,1330,2473,1,Gd,1,ExpensiveGarage,RFn,3,Y,192,151,CheapType,Others,317000,3,2,2007-10-01,2
ExpensiveZone,69.0,19900,Regular,CheapConfig,CheapNeighborhood,ExpensiveCondition,ExpensiveType,MiddleStyle,7,1970,CheapRoofStyle,MiddleExterior,BrkFace,287.0,TA,CheapFoundation,Gd,Yes,GLQ,1035,1947,Others,Y,SBrkr,0,2207,0,TA,1,ExpensiveGarage,RFn,2,Y,301,0,CheapType,Others,180000,40,21,2010-07-01,3
ExpensiveZone,72.0,10665,Irregular,CheapConfig,MiddleNeighborhood,MiddleCondition,ExpensiveType,MiddleStyle,7,2003,CheapRoofStyle,ExpensiveExterior,BrkFace,167.0,Gd,ExpensiveFoundation,Gd,Yes,GLQ,440,1453,Ex,Y,SBrkr,0,1479,0,Gd,0,ExpensiveGarage,RFn,2,Y,144,29,CheapType,Others,226000,4,4,2007-06-01,3
MiddleZone,47.0,4608,Regular,CheapConfig,CheapNeighborhood,CheapCondition,ExpensiveType,MiddleStyle,4,1945,CheapRoofStyle,CheapExterior,None,0.0,TA,CheapFoundation,TA,No,Other,747,747,Others,Y,SBrkr,0,747,0,TA,0,ExpensiveGarage,Unf,1,Y,0,0,CheapType,Others,80000,65,60,2010-06-01,1
